datetime,pickups,returns,net_flow,station_id,station_name,date,hour,minute,op_date,daily_cumulative
2026-06-21 07:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,7,15,2026-06-21,1.0
2026-06-21 07:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,7,30,2026-06-21,1.0
2026-06-21 07:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,7,45,2026-06-21,0.0
2026-06-21 08:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,8,0,2026-06-21,0.0
2026-06-21 08:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,8,15,2026-06-21,0.0
2026-06-21 08:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,8,30,2026-06-21,0.0
2026-06-21 08:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,8,45,2026-06-21,1.0
2026-06-21 09:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,9,0,2026-06-21,0.0
2026-06-21 09:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,9,15,2026-06-21,0.0
2026-06-21 09:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,9,30,2026-06-21,0.0
2026-06-21 09:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,9,45,2026-06-21,0.0
2026-06-21 10:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,10,0,2026-06-21,0.0
2026-06-21 10:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,10,15,2026-06-21,1.0
2026-06-21 10:30:00+00:00,2.0,1.0,-1.0,JC055,McGinley Square,2026-06-21,10,30,2026-06-21,0.0
2026-06-21 10:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,10,45,2026-06-21,0.0
2026-06-21 11:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,11,0,2026-06-21,0.0
2026-06-21 11:15:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-21,11,15,2026-06-21,2.0
2026-06-21 11:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,11,30,2026-06-21,2.0
2026-06-21 11:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-21,11,45,2026-06-21,2.0
2026-06-21 12:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,12,0,2026-06-21,2.0
2026-06-21 12:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,12,15,2026-06-21,2.0
2026-06-21 12:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,12,30,2026-06-21,2.0
2026-06-21 12:45:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-21,12,45,2026-06-21,0.0
2026-06-21 13:00:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-21,13,0,2026-06-21,2.0
2026-06-21 13:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,13,15,2026-06-21,1.0
2026-06-21 13:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,13,30,2026-06-21,1.0
2026-06-21 13:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,13,45,2026-06-21,1.0
2026-06-21 14:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,14,0,2026-06-21,0.0
2026-06-21 14:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,14,15,2026-06-21,0.0
2026-06-21 14:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,14,30,2026-06-21,0.0
2026-06-21 14:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,14,45,2026-06-21,0.0
2026-06-21 15:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,15,0,2026-06-21,1.0
2026-06-21 15:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,15,15,2026-06-21,2.0
2026-06-21 15:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,15,30,2026-06-21,1.0
2026-06-21 15:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,15,45,2026-06-21,0.0
2026-06-21 16:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,16,0,2026-06-21,1.0
2026-06-21 16:15:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-21,16,15,2026-06-21,1.0
2026-06-21 16:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,16,30,2026-06-21,1.0
2026-06-21 16:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,16,45,2026-06-21,0.0
2026-06-21 17:00:00+00:00,0.0,3.0,3.0,JC055,McGinley Square,2026-06-21,17,0,2026-06-21,3.0
2026-06-21 17:15:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-21,17,15,2026-06-21,3.0
2026-06-21 17:30:00+00:00,0.0,3.0,3.0,JC055,McGinley Square,2026-06-21,17,30,2026-06-21,6.0
2026-06-21 17:45:00+00:00,1.0,3.0,2.0,JC055,McGinley Square,2026-06-21,17,45,2026-06-21,8.0
2026-06-21 18:00:00+00:00,3.0,1.0,-2.0,JC055,McGinley Square,2026-06-21,18,0,2026-06-21,6.0
2026-06-21 18:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-21,18,15,2026-06-21,4.0
2026-06-21 18:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,18,30,2026-06-21,4.0
2026-06-21 18:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,18,45,2026-06-21,4.0
2026-06-21 19:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,19,0,2026-06-21,5.0
2026-06-21 19:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,19,15,2026-06-21,6.0
2026-06-21 19:30:00+00:00,1.0,2.0,1.0,JC055,McGinley Square,2026-06-21,19,30,2026-06-21,7.0
2026-06-21 19:45:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-21,19,45,2026-06-21,9.0
2026-06-21 20:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,20,0,2026-06-21,9.0
2026-06-21 20:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,20,15,2026-06-21,10.0
2026-06-21 20:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,20,30,2026-06-21,9.0
2026-06-21 20:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,20,45,2026-06-21,8.0
2026-06-21 21:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,21,0,2026-06-21,8.0
2026-06-21 21:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,21,15,2026-06-21,9.0
2026-06-21 21:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,21,30,2026-06-21,9.0
2026-06-21 21:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,21,45,2026-06-21,9.0
2026-06-21 22:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,22,0,2026-06-21,8.0
2026-06-21 22:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,22,15,2026-06-21,9.0
2026-06-21 22:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,22,30,2026-06-21,10.0
2026-06-21 22:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,22,45,2026-06-21,10.0
2026-06-21 23:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-21,23,0,2026-06-21,9.0
2026-06-21 23:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-21,23,15,2026-06-21,10.0
2026-06-21 23:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,23,30,2026-06-21,10.0
2026-06-21 23:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-21,23,45,2026-06-21,10.0
2026-06-22 00:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,0,0,2026-06-21,10.0
2026-06-22 00:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,0,15,2026-06-21,10.0
2026-06-22 00:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,0,30,2026-06-21,10.0
2026-06-22 00:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,0,45,2026-06-21,10.0
2026-06-22 01:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,1,0,2026-06-21,10.0
2026-06-22 01:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,1,15,2026-06-21,10.0
2026-06-22 01:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,1,30,2026-06-21,10.0
2026-06-22 01:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,1,45,2026-06-21,10.0
2026-06-22 02:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,2,0,2026-06-21,10.0
2026-06-22 02:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,2,15,2026-06-21,10.0
2026-06-22 02:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,2,30,2026-06-21,11.0
2026-06-22 02:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,2,45,2026-06-21,11.0
2026-06-22 03:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,3,0,2026-06-21,11.0
2026-06-22 03:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,3,15,2026-06-21,11.0
2026-06-22 03:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,3,30,2026-06-21,10.0
2026-06-22 03:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,3,45,2026-06-21,10.0
2026-06-22 04:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,4,0,2026-06-21,10.0
2026-06-22 04:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,4,15,2026-06-21,10.0
2026-06-22 04:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,4,30,2026-06-21,9.0
2026-06-22 04:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,4,45,2026-06-21,9.0
2026-06-22 05:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,5,0,2026-06-22,0.0
2026-06-22 05:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,5,15,2026-06-22,0.0
2026-06-22 05:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,5,30,2026-06-22,0.0
2026-06-22 05:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,5,45,2026-06-22,0.0
2026-06-22 06:00:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-22,6,0,2026-06-22,2.0
2026-06-22 06:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,6,15,2026-06-22,2.0
2026-06-22 06:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,6,30,2026-06-22,2.0
2026-06-22 06:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,6,45,2026-06-22,1.0
2026-06-22 07:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,7,0,2026-06-22,1.0
2026-06-22 07:15:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-22,7,15,2026-06-22,-1.0
2026-06-22 07:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,7,30,2026-06-22,-1.0
2026-06-22 07:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,7,45,2026-06-22,-2.0
2026-06-22 08:00:00+00:00,2.0,1.0,-1.0,JC055,McGinley Square,2026-06-22,8,0,2026-06-22,-3.0
2026-06-22 08:15:00+00:00,2.0,1.0,-1.0,JC055,McGinley Square,2026-06-22,8,15,2026-06-22,-4.0
2026-06-22 08:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,8,30,2026-06-22,-5.0
2026-06-22 08:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-22,8,45,2026-06-22,-5.0
2026-06-22 09:00:00+00:00,4.0,0.0,-4.0,JC055,McGinley Square,2026-06-22,9,0,2026-06-22,-9.0
2026-06-22 09:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,9,15,2026-06-22,-9.0
2026-06-22 09:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,9,30,2026-06-22,-9.0
2026-06-22 09:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,9,45,2026-06-22,-9.0
2026-06-22 10:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,10,0,2026-06-22,-9.0
2026-06-22 10:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,10,15,2026-06-22,-9.0
2026-06-22 10:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,10,30,2026-06-22,-9.0
2026-06-22 10:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,10,45,2026-06-22,-10.0
2026-06-22 11:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,11,0,2026-06-22,-10.0
2026-06-22 11:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,11,15,2026-06-22,-10.0
2026-06-22 11:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,11,30,2026-06-22,-10.0
2026-06-22 11:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,11,45,2026-06-22,-10.0
2026-06-22 12:00:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,12,0,2026-06-22,-9.0
2026-06-22 12:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,12,15,2026-06-22,-9.0
2026-06-22 12:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,12,30,2026-06-22,-8.0
2026-06-22 12:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,12,45,2026-06-22,-8.0
2026-06-22 13:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,13,0,2026-06-22,-8.0
2026-06-22 13:15:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-22,13,15,2026-06-22,-8.0
2026-06-22 13:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,13,30,2026-06-22,-8.0
2026-06-22 13:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,13,45,2026-06-22,-8.0
2026-06-22 14:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,14,0,2026-06-22,-9.0
2026-06-22 14:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,14,15,2026-06-22,-9.0
2026-06-22 14:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,14,30,2026-06-22,-9.0
2026-06-22 14:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,14,45,2026-06-22,-9.0
2026-06-22 15:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,15,0,2026-06-22,-9.0
2026-06-22 15:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,15,15,2026-06-22,-10.0
2026-06-22 15:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,15,30,2026-06-22,-9.0
2026-06-22 15:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,15,45,2026-06-22,-9.0
2026-06-22 16:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,16,0,2026-06-22,-9.0
2026-06-22 16:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,16,15,2026-06-22,-9.0
2026-06-22 16:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,16,30,2026-06-22,-9.0
2026-06-22 16:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,16,45,2026-06-22,-8.0
2026-06-22 17:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,17,0,2026-06-22,-8.0
2026-06-22 17:15:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-22,17,15,2026-06-22,-8.0
2026-06-22 17:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,17,30,2026-06-22,-8.0
2026-06-22 17:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,17,45,2026-06-22,-8.0
2026-06-22 18:00:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-22,18,0,2026-06-22,-8.0
2026-06-22 18:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,18,15,2026-06-22,-9.0
2026-06-22 18:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,18,30,2026-06-22,-9.0
2026-06-22 18:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,18,45,2026-06-22,-9.0
2026-06-22 19:00:00+00:00,0.0,2.0,2.0,JC055,McGinley Square,2026-06-22,19,0,2026-06-22,-7.0
2026-06-22 19:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,19,15,2026-06-22,-7.0
2026-06-22 19:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,19,30,2026-06-22,-6.0
2026-06-22 19:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,19,45,2026-06-22,-5.0
2026-06-22 20:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,20,0,2026-06-22,-5.0
2026-06-22 20:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,20,15,2026-06-22,-6.0
2026-06-22 20:30:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,20,30,2026-06-22,-5.0
2026-06-22 20:45:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,20,45,2026-06-22,-6.0
2026-06-22 21:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,21,0,2026-06-22,-6.0
2026-06-22 21:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,21,15,2026-06-22,-6.0
2026-06-22 21:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,21,30,2026-06-22,-6.0
2026-06-22 21:45:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,21,45,2026-06-22,-5.0
2026-06-22 22:00:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-22,22,0,2026-06-22,-7.0
2026-06-22 22:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,22,15,2026-06-22,-7.0
2026-06-22 22:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,22,30,2026-06-22,-7.0
2026-06-22 22:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,22,45,2026-06-22,-7.0
2026-06-22 23:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,23,0,2026-06-22,-7.0
2026-06-22 23:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-22,23,15,2026-06-22,-6.0
2026-06-22 23:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-22,23,30,2026-06-22,-7.0
2026-06-22 23:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-22,23,45,2026-06-22,-7.0
2026-06-23 00:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,0,0,2026-06-22,-7.0
2026-06-23 00:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,0,15,2026-06-22,-7.0
2026-06-23 00:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,0,30,2026-06-22,-7.0
2026-06-23 00:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,0,45,2026-06-22,-7.0
2026-06-23 01:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,1,0,2026-06-22,-7.0
2026-06-23 01:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,1,15,2026-06-22,-7.0
2026-06-23 01:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,1,30,2026-06-22,-7.0
2026-06-23 01:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,1,45,2026-06-22,-7.0
2026-06-23 02:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,2,0,2026-06-22,-7.0
2026-06-23 02:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,2,15,2026-06-22,-7.0
2026-06-23 02:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,2,30,2026-06-22,-7.0
2026-06-23 02:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,2,45,2026-06-22,-7.0
2026-06-23 03:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,3,0,2026-06-22,-7.0
2026-06-23 03:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,3,15,2026-06-22,-7.0
2026-06-23 03:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,3,30,2026-06-22,-7.0
2026-06-23 03:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,3,45,2026-06-22,-7.0
2026-06-23 04:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,4,0,2026-06-22,-7.0
2026-06-23 04:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,4,15,2026-06-22,-7.0
2026-06-23 04:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,4,30,2026-06-22,-7.0
2026-06-23 04:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,4,45,2026-06-22,-7.0
2026-06-23 05:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,5,0,2026-06-23,0.0
2026-06-23 05:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,5,15,2026-06-23,0.0
2026-06-23 05:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,5,30,2026-06-23,0.0
2026-06-23 05:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,5,45,2026-06-23,0.0
2026-06-23 06:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,6,0,2026-06-23,0.0
2026-06-23 06:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,6,15,2026-06-23,0.0
2026-06-23 06:30:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-23,6,30,2026-06-23,0.0
2026-06-23 06:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,6,45,2026-06-23,0.0
2026-06-23 07:00:00+00:00,2.0,0.0,-2.0,JC055,McGinley Square,2026-06-23,7,0,2026-06-23,-2.0
2026-06-23 07:15:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-23,7,15,2026-06-23,-3.0
2026-06-23 07:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,7,30,2026-06-23,-3.0
2026-06-23 07:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,7,45,2026-06-23,-3.0
2026-06-23 08:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,8,0,2026-06-23,-3.0
2026-06-23 08:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-23,8,15,2026-06-23,-2.0
2026-06-23 08:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-23,8,30,2026-06-23,-3.0
2026-06-23 08:45:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-23,8,45,2026-06-23,-3.0
2026-06-23 09:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,9,0,2026-06-23,-3.0
2026-06-23 09:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-23,9,15,2026-06-23,-2.0
2026-06-23 09:30:00+00:00,1.0,1.0,0.0,JC055,McGinley Square,2026-06-23,9,30,2026-06-23,-2.0
2026-06-23 09:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,9,45,2026-06-23,-2.0
2026-06-23 10:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-23,10,0,2026-06-23,-3.0
2026-06-23 10:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,10,15,2026-06-23,-3.0
2026-06-23 10:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,10,30,2026-06-23,-3.0
2026-06-23 10:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,10,45,2026-06-23,-3.0
2026-06-23 11:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,11,0,2026-06-23,-3.0
2026-06-23 11:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,11,15,2026-06-23,-3.0
2026-06-23 11:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,11,30,2026-06-23,-3.0
2026-06-23 11:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,11,45,2026-06-23,-3.0
2026-06-23 12:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,12,0,2026-06-23,-3.0
2026-06-23 12:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,12,15,2026-06-23,-3.0
2026-06-23 12:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,12,30,2026-06-23,-3.0
2026-06-23 12:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,12,45,2026-06-23,-3.0
2026-06-23 13:00:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,13,0,2026-06-23,-3.0
2026-06-23 13:15:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,13,15,2026-06-23,-3.0
2026-06-23 13:30:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-23,13,30,2026-06-23,-4.0
2026-06-23 13:45:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,13,45,2026-06-23,-4.0
2026-06-23 14:00:00+00:00,1.0,0.0,-1.0,JC055,McGinley Square,2026-06-23,14,0,2026-06-23,-5.0
2026-06-23 14:15:00+00:00,0.0,1.0,1.0,JC055,McGinley Square,2026-06-23,14,15,2026-06-23,-4.0
2026-06-23 14:30:00+00:00,0.0,0.0,0.0,JC055,McGinley Square,2026-06-23,14,30,2026-06-23,-4.0
